epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06316,1.05965,4.23435,1.38012,0.48132,0.5,0.72364,0.60125,0.66931,3.34976,0.90532,5.001e-05,5.001e-05,5.001e-05
2,3.66951,1.24635,4.57096,1.61139,0.98911,0.5,0.85286,0.70704,0.80492,2.77824,1.01944,0.00011438,0.00011438,0.00011438
3,5.34744,0.80574,1.78839,1.18343,0.98278,1,0.995,0.95763,0.38647,1.47512,0.70822,0.000176109,0.000176109,0.000176109
4,7.11778,0.61215,1.03331,1.03927,1,1,0.995,0.95764,0.25494,0.7906,0.63434,0.000235197,0.000235197,0.000235197
5,8.8468,0.58211,0.85981,0.99982,0.98442,1,0.995,0.94525,0.36912,0.85321,0.68899,0.000291645,0.000291645,0.000291645
6,10.4133,0.63078,0.86031,1.03765,0.98491,1,0.995,0.94525,0.27415,0.8137,0.65901,0.000345452,0.000345452,0.000345452
7,11.9171,0.63039,0.82909,1.03674,0.91519,1,0.995,0.94525,0.2472,0.84102,0.62894,0.000396619,0.000396619,0.000396619
8,13.4764,0.68614,0.79295,1.05978,0.98676,1,0.995,0.95763,0.34909,0.55627,0.68014,0.000445146,0.000445146,0.000445146
9,15.1543,0.63942,0.89207,1.02977,0.98535,1,0.995,0.92026,0.43313,1.23832,0.73069,0.000491032,0.000491032,0.000491032
10,16.772,0.69864,0.88212,1.12712,0.91,0.75,0.87,0.85751,0.24928,0.65166,0.67691,0.000534277,0.000534277,0.000534277
11,18.4557,0.59128,1.0717,1.0348,0.76666,1,0.995,0.65913,0.4287,1.68601,0.76382,0.000574882,0.000574882,0.000574882
12,20.1879,0.6908,0.72926,1.05474,0.98321,1,0.995,0.95763,0.21012,0.44429,0.60709,0.000612846,0.000612846,0.000612846
13,22.0093,0.6848,0.69434,1.05192,0.96432,1,0.995,0.95764,0.30005,0.67894,0.66245,0.00064817,0.00064817,0.00064817
14,23.7556,0.63222,0.65218,1.03477,0.73942,1,0.91167,0.87854,0.3088,1.08139,0.68366,0.000680853,0.000680853,0.000680853
15,25.5816,0.5327,0.5565,0.98921,0.89828,1,0.995,0.94525,0.28168,1.07561,0.66948,0.000710895,0.000710895,0.000710895
